题目T1,作者A1,地址AD,年份YR
“大数据”是“大趋势”吗:基于关键词共现方法的反事实分析,王程韡;,清华大学科学技术与社会研究所;,2015
互联网化电影发行的现状与发展分析,刘扬;,华北电力大学人文与社会科学学院;,2015
大数据时代腐败防治机制创新研究,李后强;李贤彬;,四川省社会科学院党委;四川省社会科学院金融与财贸经济研究所;,2015
智慧教育体系架构与关键支撑技术,杨现民;余胜泉;,江苏师范大学教育研究院江苏省教育信息化工程技术研究中心;北京师范大学现代教育技术研究所;,2015
基于大数据的个性化自适应在线学习分析模型及实现,姜强;赵蔚;王朋娇;王丽萍;,东北师范大学计算机科学与信息技术学院;辽宁师范大学计算机与信息技术学院;吉林大学教育技术中心;,2015
智慧旅游公共服务平台搭建与管理研究——基于物联网模式下的分析,王谦;,四川大学公共管理学院;,2015
面向大数据的旅游微观数据信息平台研究,王赛兰;杨振之;,四川大学旅游学院;四川大学锦城学院;,2015
大数据隐私伦理问题探究,薛孚;陈红兵;,东北大学科技哲学研究中心;,2015
过程还是结果?——大数据支撑下的城市规划创新探讨,席广亮;甄峰;,南京大学地理与海洋科学学院;南京大学建筑与城市规划学院;,2015
浅谈“大数据”对我国电视动画创作生产的影响,李晖;赵鹏;,天津财经大学艺术学院;天津财经大学珠江学院;,2015
政策科学再思考:学科使命、政策过程与分析方法,黄璜;,北京大学政府管理学院;北京大学政治发展与政府管理研究所;,2015
应用大数据推进政府治理能力现代化——以北京市东城区为例,陈之常;,NA,2015
大数据反恐应用中的法律问题分析,刘铭;,中国刑事警察学院;,2015
大数据语境中人的自由全面发展及现实路径分析,孟宪平;,南京师范大学公共管理学院;,2015
大数据与公共外交变革,沈本秋;,广州大学公共管理学院;,2015
大数据时代的数据困惑——教育研究的数据困境,高书国;,教育部教育发展研究中心;,2015
色谱经济分析法全过程置换与模拟,游士兵;任静儒;,武汉大学经济与管理学院;,2015
教育现代化监测评价研究:一个制度分析框架,李伟涛;,华东师范大学教育学系;上海市教育科学研究院普通教育研究所;,2015
数据权、数据主权的确立与大数据保护的基本原则,齐爱民;盘佳;,重庆大学法学院;,2015
大数据时代档案信息服务课程建设初探——以河北大学档案学专业教学为例,卞昭玲;张艳欣;,河北大学管理学院河北省社会建设与治理研究基地;,2015
高校科研管理信息系统构建与完善路径研究,钱晓红;谢素萍;,中国矿业大学(北京)科研处;清华大学信息化技术中心;,2015
大数据时代学术期刊的多维辩证评价,赵连君;,中共吉林省委党校《长白学刊》编辑部;,2015
大数据技术引领物流业智慧营销,梁红波;,濮阳职业技术学院;,2015
大数据与新闻报道,陈力丹;李熠祺;娜佳;,中国人民大学新闻与社会发展研究中心;中国人民大学新闻学院;,2015
大数据时代网上书店信息运维和精准营销,冯志强;,清华大学出版社;,2015
亚马逊“预测式购物”对图书馆个性化信息服务的启示,黎炳明;,钦州学院图书馆;,2015
中美两国大数据研究文献的对比与分析,孙竹梅;,南京大学信息管理学院;江苏科技大学图书馆分馆;,2015
大数据时代数字化图书馆建设探究,李艳;李珑;,中国科学院武汉文献情报中心;湖北省科学图书馆;,2015
大数据时代税务机关网上办税安全管理问题探析,王再堂;,吉林财经大学税务学院;,2015
大数据时代的数字资源融合研究,刘晓英;文庭孝;,中南大学图书馆医学分馆;中南大学医药信息系;,2015
自建大数据工具在情报领域的应用实践及对大数据理论的新认识,赵芳;吴晨生;刘彦君;,清华大学社会科学学院;北京市科学技术情报研究所;,2015
大数据背景下的情报分析,迟玉琢;,北京大学信息管理系;哈尔滨工程大学图书馆;,2015
