题目T1,作者A1,地址AD,年份YR
基于数据仓库和OLAP的图书借阅分析系统的设计,赵嘉凌;蔡文伟;," 肇庆学院图书馆,肇庆学院计算机科学与软件学院,",2008
知识发现在网络教学系统中的应用研究进展,曹梅;,南京大学信息管理系;,2008
贝叶斯网络在中医诊断中的应用研究,范建平;李常洪;吴美琴;梁嘉骅;侯丽萍;,山西大学管理学院;太原市类风湿病医院;,2008
应用eHR增强人力资源战略规划执行力——以科技型企业为例,童汝根;,广东技术师范学院;,2008
简论管理统计思想,李金昌;,浙江工商大学;,2008
一种改进CLOSET算法,吴春旭;陈家耀;刘博文;,中国科学技术大学管理学院;,2008
数据库营销中序列模式的相似性分析,侯建荣;顾锋;黄丹;,上海交通大学安泰经济与管理学院;,2008
浅谈医学知识组织与服务问题,李书宾;,解放军医学图书馆;,2008
基于网络资源的大学生英语写作能力培养模式研究,陈伟;许之所;,武汉理工大学外国语学院;,2008
出版数据挖掘关联分析,刘晓峰;," 新乡医学院图书馆,",2008
数据挖掘中一种新的聚类方法——基于对应分析与因子旋转,殷瑞飞;朱建平;," 厦门大学计划统计系,厦门大学经济学院,",2008
时态数据挖掘在手机用户消费行为中的应用,朱建平1;来升强;,"厦门大学经济学院计划统计系,厦门大学经济学院计划统计系 福建厦门,361005 厦门大学王亚南经济研究院,福建厦门,361005,福建厦门,361005",2008
20年可视化发展历程对情报学的影响,刘波;马红妹;徐学文;,"北京大学信息管理系,中国国防科技信息中心,中国国防科技信息中心 北京100871,北京100036,北京100036",2008
数据挖掘技术在公共图书馆中的应用,马丰宁;,天津大学管理学院;,2008
数字档案管理中的知识发现与知识服务,刘永;,郑州航空工业管理学院信息科学学院;,2008
数据挖掘技术在税收工作中的应用,李丹;,顺德职业技术学院;,2008
"坚硬的理论,弹性的规则——罪刑法定研究",白建军;,北京大学法学院;,2008
乒乓球比赛技战术分析的系统研究与应用,虞丽娟;张辉;凌培亮;,上海体育学院学院办公室;上海体育学院体育教育训练学院;同济大学继续教育学院;,2008
我国近年数据挖掘研究分析,王学丽;李嘉森;,北京邮电大学;,2008
聚类分析与范例推理在反洗钱中的应用,尤建新;曹颢;孙莹莹;,同济大学中国科技管理研究院;同济大学经济与管理学院;湘财证券有限责任公司;,2008
试论整合营销传播理论在我国金融服务业中的应用,李新;黄凯;,江西财经大学;中国农业银行景德镇市分行;,2008
数据挖掘在本科教学评估中的应用,赵健;傅莉;,"盐城工学院教学实验部,盐城工学院教学实验部 江苏盐城224005,江苏盐城224005",2008
一种基于WEB2.0分布式工具集的知识管理方法,胡艺文;陈美芳;,"江西科技师范学院教育技术系,江西科技师范学院教育技术系 江西南昌330013,江西南昌330013",2008
远程教育学习过程满意度评价研究,胡苏皓;,天津大学管理学院;,2008
基于数据挖掘的企业竞争力的提升,徐君;张凯;,河南理工大学经济管理学院;,2008
内幕交易行为预测:理论模型与实证分析,张宗新;,复旦大学金融研究院;,2008
关联规则挖掘在图书馆信息服务中的应用,王磊;刘东苏;,"西安电子科技大学经济管理学院,西安电子科技大学经济管理学院 西安710071,西安710071",2008
房地产市场价格的比较建模研究,王洲;,中央财经大学信息学院 北京100081,2008
基于认知风格的Web数据挖掘构建学生模型,张赛男;赵蔚;,"长春税务学院,东北师范大学 吉林长春130117,吉林长春130117",2008
银行企业客户交易中的行业关联分析,孙景;李峰;,"西安交通大学经济与金融学院,西安交通大学经济与金融学院 陕西西安710061,陕西西安710061",2008
面向FAQ文档的轻量级聚类算法,马连浩;杨鑫华;李荣键;,"大连交通大学软件学院,大连交通大学软件学院,大连交通大学软件学院 大连 116028,大连 116028,大连 116028",2008
文本挖掘在科技监测中的运用,高永平;钱进;,"镇江船艇学院训练部,镇江船艇学院训练部 江苏镇江212003,江苏镇江212003",2008
数据挖掘技术在医疗费用分析中的应用,郭丽红;温小霓;,"西安电子科技大学经济管理学院,西安电子科技大学经济管理学院 西安710071,西安710071",2008
基于SOM的移动通讯客户流失研究,翟顺平;朱美琳;," 南京大学工程管理学院,南京大学工程管理学院,",2008
数字资源深入挖掘的技术支撑,李继;,郑州大学新校区信息管理系 2006级硕士研究生,2008
数据挖掘在生物医学工程文献检索中的应用,李俊;周宇葵;," 中南大学湘雅医学院医药信息系,中南大学湘雅医学院医药信息系,",2008
我国情报学硕士学位论文的共词聚类分析,李长玲;翟雪梅;,"山东理工大学科技信息研究所,山东理工大学科技信息研究所 山东淄博255049,山东淄博255049",2008
数据挖掘技术在专利引文分析中的应用初探,蒋一平;,浙江大学公共管理学院 浙江杭州310028,2008
数据库入侵检测技术在数字图书馆中的研究,张鹰;李理;王昆鹏;李朝荣;,"西华师范大学计算机学院,西华师范大学计算机学院,西华师范大学计算机学院,川宜宾职业技术学院信息工程系 四川南充637002,四川南充637002,四川南充637002,四川宜宾644003",2008
函数数据挖掘及其在中国消费函数分析中的应用,朱建平2;徐俊伟;乐燕波;,"厦门大学经济学院,厦门大学经济学院,厦门大学经济学院 福建厦门361005,福建厦门361005,福建厦门361005",2008
会计信息的数据挖掘方法与银行信贷风险预测,彭寿康;,浙江工商大学金融学院 浙江杭州310018,2008
基于数据挖掘的可视化数字图书馆用户社区聚类与特征分析,郝小花;邓小昭;,"西南大学计算机与信息科学学院,西南大学计算机与信息科学学院 重庆400715,重庆400715",2008
决策树分类法中ID3算法在航空市场客户价值细分中的应用,演克武;张磊;孙强;,"南京航空航天大学民航学院,复旦大学,南京航空航天大学民航学院 江苏南京210016,上海200433,江苏南京210016",2008
应用主题词/副主题词关联规则对专题知识的挖掘分析及评价,侯跃芳;崔雷;朱利娜;,"中国医科大学信息管理与信息系统系,中国医科大学信息管理与信息系统系,中国医科大学信息管理与信息系统系 辽宁沈阳110001,辽宁沈阳110001,辽宁沈阳110001",2008
网络计量学核心领域研究进展,李纲;郑重;,"武汉大学信息资源研究中心,武汉大学信息资源研究中心 湖北武汉430072,湖北武汉430072",2008
以数据挖掘提升HRM决策分析能力,黄闽英;,"西南财经大学MBA中心 四川成都610074,成都大学医护学院,四川成都610106",2008
